Season,Desc,Date,Time,Ref Date,Data
2122,regseastart,2021-10-18,00:30,2021-10-19,Y
2122,regseaend,2022-04-10,23:30,2022-04-10,Y
2122,ploffstart,2022-04-15,00:30,2022-04-16,Y
2122,ploffend,2022-06-16,23:30,2022-06-16,Y
2122,plinstart,2022-04-11,00:30,2022-04-12,Y
2122,plinend,2022-04-15,23:30,2022-04-15,Y
2122,asbstart,2022-02-18,00:30,2022-02-18,N
2122,asbend,2022-02-22,23:30,2022-02-23,N
2223,regseastart,2022-10-17,00:30,2022-10-18,Y
2223,regseaend,2023-04-09,23:30,2023-04-09,Y
2223,ploffstart,2023-04-14,00:30,2023-04-15,Y
2223,ploffend,2023-06-12,23:30,2023-06-12,Y
2223,plinstart,2023-04-10,00:30,2023-04-11,Y
2223,plinend,2023-04-14,23:30,2023-04-14,Y
2223,asbstart,2023-02-17,00:30,2023-02-17,N
2223,asbend,2023-02-21,23:30,2023-02-22,N
2324,regseastart,2023-10-24,17:30,2023-10-24,Y
2324,regseaend,2024-04-14,23:30,2024-04-14,Y
2324,ploffstart,2024-04-19,00:30,2024-04-20,Y
2324,ploffend,2024-06-17,23:30,2024-06-17,Y
2324,plinstart,2024-04-15,00:30,2024-04-16,Y
2324,plinend,2024-04-19,23:30,2024-04-19,Y
2324,asbstart,2024-02-16,00:30,2024-02-16,N
2324,asbend,2024-02-20,23:30,2024-02-21,N
2425,regseastart,2024-10-21,00:30,2024-10-22,Y
2425,regseaend,,,2025-04-13,Y
2425,ploffstart,,,2025-04-19,Y
2425,ploffend,,,,Y
2425,plinstart,,,2025-04-15,Y
2425,plinend,,,2025-04-18,Y
2425,asbstart,,,2025-04-14,N
2425,asbend,,,2025-04-19,N
